id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label,Q4
630227,2,3+,"Week day dinner,Weekend dinner,At a party",$20 ,The Super Mario Bros. Movie,Coca Cola,"Siblings,Friends",,Pizza,20.0
603607,3,4,"Week day dinner,Weekend lunch,Weekend dinner,At a party",3,Mystic Pizza,Coke,"Siblings,Friends",,Pizza,3.0
617029,3,5,"Week day dinner,Weekend dinner,At a party",20,Scott Pilgrim vs. the World,coke,"Siblings,Friends,Strangers",A little (mild),Pizza,20.0
617462,3,4,"Week day lunch,Weekend lunch,At a party",$5 ,Spider-Man 2,Coke,"Siblings,Friends",,Pizza,5.0
633001,4,10,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",5,Ratatouille ,Iced tea,"Parents,Friends",,Pizza,5.0
634690,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,home alone 2,pepsi,"Parents,Siblings",A little (mild),Pizza,6.0
630198,2,4,"Weekend lunch,At a party",5,the ritual,coca-cola,"Friends,Teachers",,Pizza,5.0
520507,3,7,"Weekend dinner,At a party",$4 ,,Ginger ale,"Parents,Siblings,Friends",A little (mild),Pizza,4.0
635065,1,3,"Week day lunch,Week day dinner,Weekend lunch",7,Breakaway,Soda,"Siblings,Friends,Strangers",,Pizza,7.0
613209,3,3,"At a party,Late night snack",5,Homealone,Pepsi/Coke,Siblings,A little (mild),Pizza,5.0
605452,2,6,"Weekend dinner,At a party",15,Uncle Grandpa,Soda,Friends,,Pizza,15.0
24137,4,7,"Weekend lunch,Weekend dinner,At a party,Late night snack",20,comedy,coke,Friends,,Pizza,20.0
518809,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2,none,fanta,"Friends,Teachers",A little (mild),Pizza,2.0
634646,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Assuming one serving means one slice: $3,Harry Potter,Coca Cola,"Siblings,Friends",,Pizza,3.0
508156,3,6,"Week day lunch,Week day dinner,Weekend lunch,At a party",$3 ,"eat, pray, love",Coca-Cola Zero,"Siblings,Friends,Teachers",A little (mild),Pizza,3.0
632909,3,10,"Week day dinner,Weekend dinner,At a party,Late night snack",$7 ,spiderman,canada dry,"Parents,Siblings",,Pizza,7.0
414734,2,"at least 4， cheese,olive, papper, Ham piece",At a party,lower than 15$,no movie that I can think,obviously cola,Friends,A lot (hot),Pizza,15.0
630250,3,"flour, water, yeast, salt, oil, tomato sauce, cheese, pepperoni, vegetables.","At a party,Late night snack",6 to 9 dollars,ratatouille.,Sprite,Friends,,Pizza,7.5
411810,3,anywhere from 3 to as much as you like,"Week day lunch,Weekend lunch,At a party,Late night snack",$2 ,Toy Story,Pop with ice,"Parents,Siblings,Friends",,Pizza,2.0
214145,3,10,Weekend lunch,10,shrek,gatorade,"Parents,Siblings",A lot (hot),Pizza,10.0
628986,2,4,At a party,16.99,Captain America,Coke,Teachers,A lot (hot),Pizza,16.99
211158,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,Home Alone,Soda,Friends,,Pizza,12.0
507382,2,4 to 6 ingredients,At a party,5 Dollars,Spiderman 2,Coca Cola,Friends,A little (mild),Pizza,5.0
522877,3,Around 5 ingredients ,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Pirates of the Caribbean ,ginger ale ,"Siblings,Friends",A little (mild),Pizza,6.0
635024,3,"A minimum of 3 but there can be more, up to 7 usually.","Week day lunch,Weekend lunch,At a party,Late night snack",Around 3-5 dollars depending on the quality.,"Monsters, Inc.",Soda.,"Parents,Friends,Teachers",,Pizza,4.0
602845,3,"The number of ingredients in the food is differs and depends on the choice of the customer. However, the food can have between 4 to 10 ingredients.","Weekend lunch,At a party",You can expect to pay between $15 to $30 depending on the size.,"I think of the movie named ""Chef"".",I like Coca Cola and would pair it with this food item.,"Parents,Siblings",A little (mild),Pizza,22.5
519822,3,"dough, flour, tomato sauce, pepperoni, cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15-18,The Boy and the Herron,Coca-cola,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza,16.5
600849,2,4,"Weekend dinner,At a party",$6 ,Superbad,Ginger ale,Friends,,Pizza,6.0
605148,3,8,"Week day lunch,Week day dinner,At a party",Probably from $3-7. ,Home Alone,"Any soda: Pepsi, Coca Cola, Crush, Canada Dry",Friends,,Pizza,5.0
631600,3,"For regular cheese pizza, one will need the following ingredients:

1. Flour

2. Water

3. Tomato Sauce

4. Cheese

5. Yeast

 

So in total, five ingredients","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","For one slice, I would expect to pay around $3.

 

However for a whole pizza box, it would depend on the size. If small, then around $10. If medium, then around $12. If large, then around $15",Teenage Mutant Ninja Turtles vs Batman. The TMNT love pizza and they eat it with batman at the end of the movie.,Sprite. Or perhaps any pop drink would go well with pizza. ,"Siblings,Friends",,Pizza,10.0
716142,3,"4 ingredients - dough, cheese, toppings, and pizza sauce.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Home Alone,soda,Friends,,Pizza,20.0
525853,1,3 to 6 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10 to 20 dollars,Spider-Man 2,Coca-Cola,"Friends,Teachers",,Pizza,15.0
835124,4,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7 ,Teenage Mutant Ninja Turtles,Coke,Friends,,Pizza,7.0
634764,4,7,"Week day lunch,Weekend lunch,At a party,Late night snack",$10 ,The Grinch.,Coke,"Parents,Siblings,Friends,Teachers,Strangers",,Pizza,10.0
630117,3,"At least 3

 the dough, tomatoes sauce, and cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around 15 for the most basic pizza,,Pop drink,Friends,,Pizza,15.0
631531,5,6-8,"Week day lunch,Week day dinner,At a party,Late night snack",~$5,back to the future,pepsi/water,"Parents,Siblings,Friends,Teachers",,Pizza,5.0
714062,3,At least 4,"Week day dinner,Weekend lunch,Weekend dinner,At a party",Around 20 CAD,The Hangover,Coke,Friends,A little (mild),Pizza,20.0
629156,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Teenage Mutant Ninja Turtles,Soda,Friends,A little (mild),Pizza,10.0
498563,4,"9: Flour, Levain (at peak) or instant yeast, water, salt, olive oil, tomatoes, mozzarella, basil","Weekend lunch,Weekend dinner,At a party",$12-20 depending on size,Home Alone,Water,Friends,,Pizza,16.0
625319,3,zero to four,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",2-4$ ,Teenage mutant ninja turtles,Soda or water.,"Friends,Teachers",A moderate amount (medium),Pizza,3.0
723931,2,five ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 dollars,spiderman,coke,"Siblings,Friends",,Pizza,5.0
526497,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6.00 ,Set it up,Coke ,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza,6.0
630999,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20 dollars,,Coke,Teachers,,Pizza,20.0
97339,1,5 or 6 ingredients,At a party,$10 ,Spiderman 2,Coke Zero,"Parents,Siblings,Friends",A moderate amount (medium),Pizza,10.0
631909,2,3-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,"Mufasa, The Lion King",Coke,Friends,,Pizza,5.0
625349,3,"4 toppings

3 base ingredients (dough, cheese, sauce)","Weekend dinner,At a party,Late night snack",$20 ,Dune,sprite,"Parents,Friends,Strangers",A little (mild),Pizza,20.0
632299,3,A minimum of 3.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",One slice should be no more than 5 dollars. ,Cloudy with a chance of meatballs,Soda,Friends,A little (mild),Pizza,5.0
616634,4,9,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",$4 ,The Lego Movie,Pepsi,"Friends,Teachers,Strangers",A little (mild),Pizza,4.0
616836,3,5,"Weekend dinner,At a party",$3 ,Ratatouille,Diet Coke,Friends,A moderate amount (medium),Pizza,3.0
609116,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,The Big Lebowski,Soda,"Siblings,Friends",,Pizza,4.0
626789,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",6,,diet coke,Friends,,Pizza,6.0
504599,3,5-10,"Week day lunch,At a party,Late night snack","I think the price of a full pizza should be 20 CAD. 

The price for a full adult male to eat should be 10 CAD",Fight Club,Diet Pepsi,"Parents,Siblings,Friends",A moderate amount (medium),Pizza,15.0
632684,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2,Teenage Mutant Ninja Turtles,Coca Cola,"Parents,Siblings,Friends",,Pizza,2.0
522967,2,3,"Weekend lunch,At a party",12,spiderman,cocacola,"Parents,Teachers",A little (mild),Pizza,12.0
632893,3,10,"Weekend lunch,At a party",$15 ,Transformers,Pepsi,Friends,A little (mild),Pizza,15.0
632156,3,"I would expect this food item to contain at least eight ingredients, taking a base recipe for cheese pizza as an example: water, sugar, yeast, oil, salt, flour, tomatoes, cheese.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Taking one slice as one serving, I would expect to pay $5.",I don't have a movie I think of when I think of pizza.,I would pair coke with pizza.,"Parents,Siblings",,Pizza,5.0
603582,3,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 CAD,Cloudy with a Chance of Meatballs,Coke with ice,"Parents,Siblings,Friends",,Pizza,5.0
626754,2,"At the bare minimum, pizza dough, cheese, tomato sauce. (3 Ingredients)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,Home Alone,Coca Cola,"Parents,Friends",,Pizza,15.0
298481,4,7-15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8-$24,Interstellar,Coke Zero,"Parents,Siblings,Friends",,Pizza,16.0
631583,2,6,"Week day dinner,Weekend dinner,At a party",18,Futurama: Bender's Big Score,Coke,"Parents,Siblings,Friends",,Pizza,18.0
718026,3,5,"Weekend lunch,Weekend dinner,At a party,Late night snack",15,teenage mutant ninja turtles,pepsi,Friends,,Pizza,15.0
616713,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15 CAD,The Italian Job,Water,Friends,,Pizza,15.0
602533,5,5,"Weekend dinner,At a party",15,Godfather,Coke,"Parents,Friends",A little (mild),Pizza,15.0
522345,2,"This food should contain at least 3 ingredients, but could include as many as the user wants. However, any number over 6 ingredients weighs the slices down too much and the pizza is less fun to eat.","Week day dinner,Weekend lunch,Weekend dinner,At a party","For one whole 10-inch pizza I would expect to pay $10, but for a single slice from a 16-inch pizza I would pay $6",Teenage Mutant Ninja Turtles,Soda,Friends,,Pizza,10.5
629758,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",around 13 dollars,Back to the Future Part 2,diet coke,"Friends,Strangers",,Pizza,13.0
631496,2,"At a bare minimum, 3 - dough, cheese, and salsa.

At a maximum, around 4-5 toppings on top of this.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Spiderman,Coke,Friends,,Pizza,5.0
491374,2,3-20,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10-30 Canadian dollars,Spider Man,Coca-Cola,Friends,,Pizza,20.0
632051,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,Home Alone,Coke,"Parents,Siblings,Friends,Strangers",,Pizza,2.5
409930,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 to $20,"any kind really, probably something more relaxed for leisure",water,"Parents,Siblings,Friends",,Pizza,15.0
632975,2,5,"Week day lunch,Weekend lunch,At a party",4,Monster House,Coke,"Siblings,Friends",A little (mild),Pizza,4.0
407221,3,5,"Week day lunch,At a party",$25 ,Spiderman,Pepsi,Friends,A lot (hot),Pizza,25.0
204508,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Cloudy with a Chance of Meatballs,sprite,Friends,,Pizza,5.0
618700,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,the godfather,soda,Friends,A little (mild),Pizza,10.0
627792,3,At least three ingredients.,"Weekend lunch,Weekend dinner,At a party",5 CAD.,Spider-man 2.,Pepsi.,"Siblings,Friends",,Pizza,5.0
712054,3,3,"Week day dinner,At a party",$16 ,Harry Potter,Coke,Friends,,Pizza,16.0
631881,2,Around 5–10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$2 – $5,Home alone because Kevin orders an entire one for himself.,"Soda (i.e. Coke, Pepsi, etc.)",Friends,,Pizza,3.5
716188,3,"Tomato sauce, cheese, ham, pepperoni, pineapple, dough","At a party,Late night snack",$25 for 12 inch.,Italian movie,Coke,"Friends,Teachers",,Pizza,18.5
628744,3,6+,"Week day lunch,Weekend lunch,At a party,Late night snack",$10-20,TNMT,Coca Cola,"Friends,Teachers",A little (mild),Pizza,15.0
604132,4,5,"Week day lunch,Weekend lunch,At a party",8,Ratatouille,Soda,"Siblings,Friends",A moderate amount (medium),Pizza,8.0
629807,2,3,"Week day lunch,Week day dinner,Weekend lunch",5 dollars,Ratatouille,Water,Friends,A little (mild),Pizza,5.0
741428,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8 ,,Pepsi,Friends,,Pizza,8.0
633024,2,6,"Week day lunch,At a party,Late night snack",5,N.A. (I only watched a few movies so I cannot think of any movie related to Pizza),water,Strangers,,Pizza,5.0
631221,3,I would expect between 3 and 6 ingredients.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay $4 for one slice of pizza.,Cloudy With a Chance of Meatballs,A soda,Friends,,Pizza,4.0
601983,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Home Alone,Coke,"Parents,Siblings",A little (mild),Pizza,5.0
603007,2,"Flower, Yeast, Water, Olive Oil, Tomato, herbs, cheese, pepperoni.
8 Ingredients","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 dollars,Teenage Mutant Ninja Turtles ,Iced Tea,Friends,A moderate amount (medium),Pizza,3.0
601217,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 CAD,The Godfather,Diet coke,"Siblings,Friends",A moderate amount (medium),Pizza,3.0
629221,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,Teenage Mutant Ninja Turtles,Coke,Friends,,Pizza,15.0
634705,2,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,The Mario Movie,Orange Crush Soda,"Parents,Siblings",A little (mild),Pizza,4.0
630070,3,14,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Spider-man 2,coke,"Parents,Friends,Teachers,Strangers",A little (mild),Pizza,10.0
630006,3,6-20 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Home Alone,Coke,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza,20.0
629072,3,6,"Weekend dinner,At a party,Late night snack",$4 ,Cloudy with a chance of meatballs,Soda,"Parents,Friends",,Pizza,4.0
630044,2,I think this food item 7 ingredients.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I expect to pay 4 dollar with tax.,Cloudy with a chance of meatballs,Diet pepsi.,"Siblings,Friends",,Pizza,4.0
626026,2,6,"Weekend lunch,Weekend dinner,At a party",4$,ratatouille.,sprite or juice.,"Friends,Strangers",,Pizza,4.0
520303,3,"Cheese, Pineapple, bacon, sausage, onions, tomatoes, paparoni","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,The Godfather,Coke,"Siblings,Friends",,Pizza,20.0
630972,3,Probably like 10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4 bucks,Cloudy with a chance of meatballs,Soda,"Siblings,Friends,Teachers",A little (mild),Pizza,4.0
630948,3,3-4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15,Teenage Mutant Ninja Turtles,soda,"Parents,Siblings,Friends",,Pizza,15.0
626778,2,4 ingredients,"Week day lunch,Week day dinner,Weekend dinner,At a party","(As in one slice) $3

(As in one small pizza) $10",Home Alone,Coke Zero,"Parents,Siblings,Friends,Teachers,Strangers",A moderate amount (medium),Pizza,6.5
631181,4,4,"Week day lunch,At a party,Late night snack",4.4,The Hangover,coke,Parents,A little (mild),Pizza,4.4
633541,2,8-4,"Weekend dinner,At a party,Late night snack",15,The Dark Knight,Nestea,Friends,A little (mild),Pizza,15.0
630098,3,"3 ingredients,  

* Pizza dough

* Tomato sauce

* Mozzarella cheese","Week day lunch,At a party",5 dollar.,Teenage Mutant Ninja Turtles,Coke.,Friends,A little (mild),Pizza,5.0
629959,3,3-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,Ratatouille ,Water,"Parents,Siblings,Friends",,Pizza,5.0
633097,3,8,"Week day lunch,Weekend dinner,At a party",$5 ,American Pie,Cola,"Friends,Teachers",,Pizza,5.0
605290,3,#NAME?,"Week day lunch,Week day dinner,Weekend dinner,At a party",$5/serving,Mean Girls,Sprindrift,Friends,,Pizza,5.0
629869,3,5,At a party,$2 ,Friday,Diet coke,Friends,A little (mild),Pizza,2.0
632868,2,For a classic cheese style it would be 3-4 ingredients. For typical styles around 7-8.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","One medium serving, it would be expected to pay around $20.",Home Alone is the first movie that comes to minds. Im referring to the scene were the whole family order 10+ boxes of pizza and their trying to see who is going to pay.,"Probably a fizzy drink, ideally coca-cola. ","Parents,Siblings,Friends",A little (mild),Pizza,20.0
209691,2,I would expect this food item to contain 5 ingredients.,"Week day lunch,Weekend lunch,At a party",I would expect to pay $10 for one serving of this food item.,I think of spiderman when thinking of this food item.,I would pair with this food item with iced tea.,"Friends,Teachers",,Pizza,10.0
600915,4,5,"At a party,Late night snack",20,Toy Story,Water,Friends,,Pizza,20.0
525420,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,Ninja Turtles,Coke,"Siblings,Friends,Strangers",A moderate amount (medium),Pizza,15.0
414710,3,7 ,"Week day lunch,Weekend lunch,At a party,Late night snack",$2.50 CAD,Garfield,Pepsi,"Parents,Friends",A moderate amount (medium),Pizza,2.5
629985,3,10 ,"Week day lunch,Weekend lunch,At a party",$3 ,Pirates of the Caribbean ,pepsi,Strangers,A lot (hot),Pizza,3.0
523128,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",9,This is the end,Sprite,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza,9.0
727410,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$25 ,Karate Kid,Water,Friends,A little (mild),Pizza,25.0
616457,3,4-8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Goodfellas,coke,"Friends,Teachers",A little (mild),Pizza,10.0
206487,3,"Four ingredients: Dough, sauce (usually [tomato sauce] (https://en.wikipedia.org/wiki/Tomato_sauce)), cheese (typically [mozzarella] (https://en.wikipedia.org/wiki/Mozzarella)) ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 dollars for a 4people pizza,Ratatouille,Any soft drink,"Siblings,Friends,Teachers",A little (mild),Pizza,8.0
68949,2,"If we include making the dough, 10 ingredients are needed. If not, 5 (depending on the number of toppings).","Weekend dinner,At a party","For a box, approximate $12-$17, depending on the size ordered.",Teenage Mutant Ninja Turtles,A soda,"Siblings,Friends",A little (mild),Pizza,14.5
419835,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,Cloudy with a Chance of Meatballs,Coke,"Siblings,Friends,Strangers",,Pizza,5.0
745732,2,">=3 More than three. dough, sauce, cheese, some meat or vegetable, or pineapple.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 to 20 dollars.,Ready Player One. There is pac-man inside and pizza looks like one.,coca cola. ,Strangers,,Pizza,16.0
543739,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,Teenage Mutant Ninja Turtles ,Coke,"Siblings,Friends",,Pizza,4.0
410380,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8,Spider Man,Soda,"Parents,Friends,Teachers",,Pizza,8.0
385307,4,the basic would be about 8 ,"Weekend dinner,At a party",3  ,ninja turtle ,coke ,Friends,,Pizza,3.0
634566,4,8,Weekend dinner,15,The Gentlemen ,Martini Cocktail ,Friends,,Pizza,15.0
625818,1,I would expect 5 ingredients if we make our dough from scratch.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay 3.95$ for a slice.,Teenage mutant ninja turtle,Coca-cola,Friends,A little (mild),Pizza,3.95
631164,3,"Flour, water, eggs (idt there is yeast), salt, tomatoes, cheese, + n many additional ingedients.

Atleast 6.

 ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5-$10,"Rattatouie, even though there isnt pizza.",Water,Strangers,A little (mild),Pizza,7.5
603130,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4 ,The Godfather,Pepsi,"Friends,Teachers",,Pizza,4.0
229211,3,I would expect this food item to contain about 3 to 7 ingredients,"Week day lunch,Week day dinner,At a party,Late night snack",$5 ,Pulp Fiction,Gingerale (Canada Dry),"Parents,Friends",A little (mild),Pizza,5.0
626849,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5.00 ,Teenage Mutant Ninja Turtles,Pop/Soda,"Siblings,Friends",,Pizza,5.0
634650,2,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 for a slice of pizza ,Spiderman,Coke,"Siblings,Friends",A moderate amount (medium),Pizza,5.0
632125,3,5,"Week day dinner,Weekend dinner,At a party,Late night snack",$3 ,cloudy with a chance of meatballs,Sprite,"Friends,Teachers",,Pizza,3.0
626812,2,5-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20,no movie,ice tea,Friends,,Pizza,20.0
631109,3,5,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$3 or $3.50,I think of the show Gilmore Girls. They're always eating pizza. ,"Soda, personally Sprite. ","Siblings,Friends",,Pizza,3.25
716766,2,"5-10, including the dough, sauce, cheese and toppings","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 for each piece,spiderman,coca-cola,Friends,,Pizza,5.0
494103,3,8,"Week day dinner,Weekend dinner,At a party,Late night snack",5 dollars,Ninja turtles,Coca cola,Friends,A moderate amount (medium),Pizza,5.0
628102,2,"three; cheese, tomato sauce, dough","Week day dinner,Weekend lunch,At a party",$4 ,Happy Gilmore,Water,"Parents,Siblings,Friends",A little (mild),Pizza,4.0
634683,3,5,"Week day lunch,At a party,Late night snack",3 dollars,Ratatoullie,Coke,"Siblings,Friends",,Pizza,3.0
517774,2,5,"Weekend lunch,At a party",6,Inception,sprite,Friends,A little (mild),Pizza,6.0
408898,3,At least 3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2 dollars,Spiderman 2,Water,"Parents,Siblings,Friends",A little (mild),Pizza,2.0
603189,3,6,"At a party,Late night snack",4,back in action,Diet Coke,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza,4.0
606857,2,4,"Week day lunch,Weekend lunch,At a party",3.50 CAD,Teenage Mutant Ninja Turtles,Coke,Friends,A moderate amount (medium),Pizza,3.5
523080,2,4,"Weekend lunch,Weekend dinner,At a party",3 dollars,masterchef,soda,Friends,,Pizza,3.0
631014,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,Spiderman 2,Fanta,Parents,,Pizza,5.0
503957,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$11 ,Home alone,Coke,Friends,I will have some of this food item with my hot sauce,Pizza,11.0
524890,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,Spider-Man 2,Sprite,"Siblings,Friends",,Pizza,5.0
717411,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$3 ,Italian movie,soft drink,Strangers,A little (mild),Pizza,3.0
525311,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Die Hard,Soda,"Parents,Siblings",A little (mild),Pizza,10.0
630967,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,The Social Network,Red Wine or Coca Cola,"Friends,Strangers",A little (mild),Pizza,5.0
604969,2,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Neverending Story,Soda,"Parents,Siblings,Friends",A moderate amount (medium),Pizza,5.0
524480,3,10 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8 ,Maze Runner,Mountain Dew,Friends,,Pizza,8.0
630121,3,around 15 ingredients,"Week day lunch,Weekend dinner,At a party",around $5,Home Alone,soft drinks,"Siblings,Friends,Teachers",A lot (hot),Pizza,5.0
629615,2,mandatory ingredients: 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,Diary of a Wimpy Kid: Rodrick Rules,Sprite,"Parents,Siblings,Friends",A lot (hot),Pizza,5.0
634977,5,4,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",20,Spider Man 2,Coca Cola,"Parents,Siblings,Friends",,Pizza,20.0
630823,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8$,Transformer,coke,"Siblings,Friends",,Pizza,8.0
632228,2,5 to 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2 to 3 dollars,Teenage Mutant Ninja Turtles ,Coke,"Siblings,Friends",A lot (hot),Pizza,2.5
504548,2,4,"Week day lunch,Weekend lunch,At a party,Late night snack",$5 ,Spider-Man 2,Coca-Cola,"Friends,Teachers",,Pizza,5.0
522477,4,"Around 9 to 10 ingredients, such as wheat flour, oil, water, sugar, salt, yeast, tomato sauce, cheese, and some meats.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around $5.,"When thinking of pizza, it would reminder me of Italy, and the first movie that came to mind was Malena.",Coke.,"Siblings,Friends,Teachers,Strangers",,Pizza,5.0
