id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
635024,3,3.0,"Week day lunch,Weekend lunch,At a party,Late night snack",Around 3-5 dollars depending on the quality.,"Monsters, Inc.",Soda.,"Parents,Friends,Teachers",None,Pizza
602845,3,4.0,"Weekend lunch,At a party",You can expect to pay between $15 to $30 depending on the size.,"I think of the movie named ""Chef"".",I like Coca Cola and would pair it with this food item.,"Parents,Siblings",A little (mild),Pizza
519822,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15-18,The Boy and the Herron,Coca-cola,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza
600849,2,4.0,"Weekend dinner,At a party",$6 ,Superbad,Ginger ale,Friends,None,Pizza
605148,3,8.0,"Week day lunch,Week day dinner,At a party",Probably from $3-7. ,Home Alone,"Any soda: Pepsi, Coca Cola, Crush, Canada Dry",Friends,None,Pizza
631600,3,1.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","For one slice, I would expect to pay around $3.

 

However for a whole pizza box, it would depend on the size. If small, then around $10. If medium, then around $12. If large, then around $15",Teenage Mutant Ninja Turtles vs Batman. The TMNT love pizza and they eat it with batman at the end of the movie.,Sprite. Or perhaps any pop drink would go well with pizza. ,"Siblings,Friends",None,Pizza
716142,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Home Alone,soda,Friends,None,Pizza
525853,1,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10 to 20 dollars,Spider-Man 2,Coca-Cola,"Friends,Teachers",None,Pizza
835124,4,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7 ,Teenage Mutant Ninja Turtles,Coke,Friends,None,Pizza
634764,4,7.0,"Week day lunch,Weekend lunch,At a party,Late night snack",$10 ,The Grinch.,Coke,"Parents,Siblings,Friends,Teachers,Strangers",None,Pizza
630117,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around 15 for the most basic pizza,None,Pop drink,Friends,None,Pizza
631531,5,8.0,"Week day lunch,Week day dinner,At a party,Late night snack",~$5,back to the future,pepsi/water,"Parents,Siblings,Friends,Teachers",None,Pizza
714062,3,4.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",Around 20 CAD,The Hangover,Coke,Friends,A little (mild),Pizza
629156,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Teenage Mutant Ninja Turtles,Soda,Friends,A little (mild),Pizza
498563,4,9.0,"Weekend lunch,Weekend dinner,At a party",$12-20 depending on size,Home Alone,Water,Friends,None,Pizza
625319,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",2-4$ ,Teenage mutant ninja turtles,Soda or water.,"Friends,Teachers",A moderate amount (medium),Pizza
723931,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 dollars,spiderman,coke,"Siblings,Friends",None,Pizza
526497,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6.00 ,Set it up,Coke ,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
630999,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20 dollars,None,Coke,Teachers,None,Pizza
97339,1,5.0,At a party,$10 ,Spiderman 2,Coke Zero,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
631909,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,"Mufasa, The Lion King",Coke,Friends,None,Pizza
625349,3,4.0,"Weekend dinner,At a party,Late night snack",$20 ,Dune,sprite,"Parents,Friends,Strangers",A little (mild),Pizza
632299,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",One slice should be no more than 5 dollars. ,Cloudy with a chance of meatballs,Soda,Friends,A little (mild),Pizza
616634,4,9.0,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",$4 ,The Lego Movie,Pepsi,"Friends,Teachers,Strangers",A little (mild),Pizza
616836,3,5.0,"Weekend dinner,At a party",$3 ,Ratatouille,Diet Coke,Friends,A moderate amount (medium),Pizza
609116,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,The Big Lebowski,Soda,"Siblings,Friends",None,Pizza
626789,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",6,None,diet coke,Friends,None,Pizza
504599,3,10.0,"Week day lunch,At a party,Late night snack","I think the price of a full pizza should be 20 CAD. 

The price for a full adult male to eat should be 10 CAD",Fight Club,Diet Pepsi,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
632684,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2,Teenage Mutant Ninja Turtles,Coca Cola,"Parents,Siblings,Friends",None,Pizza
522967,2,3.0,"Weekend lunch,At a party",12,spiderman,cocacola,"Parents,Teachers",A little (mild),Pizza
632893,3,10.0,"Weekend lunch,At a party",$15 ,Transformers,Pepsi,Friends,A little (mild),Pizza
632156,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Taking one slice as one serving, I would expect to pay $5.",I don't have a movie I think of when I think of pizza.,I would pair coke with pizza.,"Parents,Siblings",None,Pizza
603582,3,15.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 CAD,Cloudy with a Chance of Meatballs,Coke with ice,"Parents,Siblings,Friends",None,Pizza
626754,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,Home Alone,Coca Cola,"Parents,Friends",None,Pizza
298481,4,15.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8-$24,Interstellar,Coke Zero,"Parents,Siblings,Friends",None,Pizza
631583,2,6.0,"Week day dinner,Weekend dinner,At a party",18,Futurama: Bender's Big Score,Coke,"Parents,Siblings,Friends",None,Pizza
718026,3,5.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",15,teenage mutant ninja turtles,pepsi,Friends,None,Pizza
616713,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15 CAD,The Italian Job,Water,Friends,None,Pizza
602533,5,5.0,"Weekend dinner,At a party",15,Godfather,Coke,"Parents,Friends",A little (mild),Pizza
522345,2,3.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party","For one whole 10-inch pizza I would expect to pay $10, but for a single slice from a 16-inch pizza I would pay $6",Teenage Mutant Ninja Turtles,Soda,Friends,None,Pizza
629758,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",around 13 dollars,Back to the Future Part 2,diet coke,"Friends,Strangers",None,Pizza
631496,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Spiderman,Coke,Friends,None,Pizza
491374,2,20.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10-30 Canadian dollars,Spider Man,Coca-Cola,Friends,None,Pizza
632051,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,Home Alone,Coke,"Parents,Siblings,Friends,Strangers",None,Pizza
409930,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 to $20,"any kind really, probably something more relaxed for leisure",water,"Parents,Siblings,Friends",None,Pizza
632975,2,5.0,"Week day lunch,Weekend lunch,At a party",4,Monster House,Coke,"Siblings,Friends",A little (mild),Pizza
407221,3,5.0,"Week day lunch,At a party",$25 ,Spiderman,Pepsi,Friends,A lot (hot),Pizza
204508,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Cloudy with a Chance of Meatballs,sprite,Friends,None,Pizza
618700,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,the godfather,soda,Friends,A little (mild),Pizza
627792,3,6.0,"Weekend lunch,Weekend dinner,At a party",5 CAD.,Spider-man 2.,Pepsi.,"Siblings,Friends",None,Pizza
712054,3,3.0,"Week day dinner,At a party",$16 ,Harry Potter,Coke,Friends,None,Pizza
631881,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$2 – $5,Home alone because Kevin orders an entire one for himself.,"Soda (i.e. Coke, Pepsi, etc.)",Friends,None,Pizza
716188,3,6.0,"At a party,Late night snack",$25 for 12 inch.,Italian movie,Coke,"Friends,Teachers",None,Pizza
628744,3,6.0,"Week day lunch,Weekend lunch,At a party,Late night snack",$10-20,TNMT,Coca Cola,"Friends,Teachers",A little (mild),Pizza
604132,4,5.0,"Week day lunch,Weekend lunch,At a party",8,Ratatouille,Soda,"Siblings,Friends",A moderate amount (medium),Pizza
629807,2,3.0,"Week day lunch,Week day dinner,Weekend lunch",5 dollars,Ratatouille,Water,Friends,A little (mild),Pizza
741428,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8 ,None,Pepsi,Friends,None,Pizza
633024,2,6.0,"Week day lunch,At a party,Late night snack",5,N.A. (I only watched a few movies so I cannot think of any movie related to Pizza),water,Strangers,None,Pizza
631221,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay $4 for one slice of pizza.,Cloudy With a Chance of Meatballs,A soda,Friends,None,Pizza
601983,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Home Alone,Coke,"Parents,Siblings",A little (mild),Pizza
603007,2,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 dollars,Teenage Mutant Ninja Turtles ,Iced Tea,Friends,A moderate amount (medium),Pizza
601217,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3 CAD,The Godfather,Diet coke,"Siblings,Friends",A moderate amount (medium),Pizza
629221,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,Teenage Mutant Ninja Turtles,Coke,Friends,None,Pizza
634705,2,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4 ,The Mario Movie,Orange Crush Soda,"Parents,Siblings",A little (mild),Pizza
630070,3,14.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Spider-man 2,coke,"Parents,Friends,Teachers,Strangers",A little (mild),Pizza
630006,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Home Alone,Coke,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
629072,3,6.0,"Weekend dinner,At a party,Late night snack",$4 ,Cloudy with a chance of meatballs,Soda,"Parents,Friends",None,Pizza
630044,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I expect to pay 4 dollar with tax.,Cloudy with a chance of meatballs,Diet pepsi.,"Siblings,Friends",None,Pizza
626026,2,6.0,"Weekend lunch,Weekend dinner,At a party",4$,ratatouille.,sprite or juice.,"Friends,Strangers",None,Pizza
520303,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20,The Godfather,Coke,"Siblings,Friends",None,Pizza
630972,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4 bucks,Cloudy with a chance of meatballs,Soda,"Siblings,Friends,Teachers",A little (mild),Pizza
630948,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15,Teenage Mutant Ninja Turtles,soda,"Parents,Siblings,Friends",None,Pizza
626778,2,4.0,"Week day lunch,Week day dinner,Weekend dinner,At a party","(As in one slice) $3

(As in one small pizza) $10",Home Alone,Coke Zero,"Parents,Siblings,Friends,Teachers,Strangers",A moderate amount (medium),Pizza
631181,4,4.0,"Week day lunch,At a party,Late night snack",4.4,The Hangover,coke,Parents,A little (mild),Pizza
633541,2,4.0,"Weekend dinner,At a party,Late night snack",15,The Dark Knight,Nestea,Friends,A little (mild),Pizza
630098,3,3.0,"Week day lunch,At a party",5 dollar.,Teenage Mutant Ninja Turtles,Coke.,Friends,A little (mild),Pizza
629959,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,Ratatouille ,Water,"Parents,Siblings,Friends",None,Pizza
633097,3,8.0,"Week day lunch,Weekend dinner,At a party",$5 ,American Pie,Cola,"Friends,Teachers",None,Pizza
605290,3,6.0,"Week day lunch,Week day dinner,Weekend dinner,At a party",$5/serving,Mean Girls,Sprindrift,Friends,None,Pizza
629869,3,5.0,At a party,$2 ,Friday,Diet coke,Friends,A little (mild),Pizza
632868,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","One medium serving, it would be expected to pay around $20.",Home Alone is the first movie that comes to minds. Im referring to the scene were the whole family order 10+ boxes of pizza and their trying to see who is going to pay.,"Probably a fizzy drink, ideally coca-cola. ","Parents,Siblings,Friends",A little (mild),Pizza
209691,2,5.0,"Week day lunch,Weekend lunch,At a party",I would expect to pay $10 for one serving of this food item.,I think of spiderman when thinking of this food item.,I would pair with this food item with iced tea.,"Friends,Teachers",None,Pizza
600915,4,5.0,"At a party,Late night snack",20,Toy Story,Water,Friends,None,Pizza
525420,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15 ,Ninja Turtles,Coke,"Siblings,Friends,Strangers",A moderate amount (medium),Pizza
414710,3,7.0,"Week day lunch,Weekend lunch,At a party,Late night snack",$2.50 CAD,Garfield,Pepsi,"Parents,Friends",A moderate amount (medium),Pizza
629985,3,10.0,"Week day lunch,Weekend lunch,At a party",$3 ,Pirates of the Caribbean ,pepsi,Strangers,A lot (hot),Pizza
523128,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",9,This is the end,Sprite,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
727410,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$25 ,Karate Kid,Water,Friends,A little (mild),Pizza
616457,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Goodfellas,coke,"Friends,Teachers",A little (mild),Pizza
206487,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 dollars for a 4people pizza,Ratatouille,Any soft drink,"Siblings,Friends,Teachers",A little (mild),Pizza
68949,2,10.0,"Weekend dinner,At a party","For a box, approximate $12-$17, depending on the size ordered.",Teenage Mutant Ninja Turtles,A soda,"Siblings,Friends",A little (mild),Pizza
419835,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5,Cloudy with a Chance of Meatballs,Coke,"Siblings,Friends,Strangers",None,Pizza
745732,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12 to 20 dollars.,Ready Player One. There is pac-man inside and pizza looks like one.,coca cola. ,Strangers,None,Pizza
543739,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,Teenage Mutant Ninja Turtles ,Coke,"Siblings,Friends",None,Pizza
410380,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8,Spider Man,Soda,"Parents,Friends,Teachers",None,Pizza
385307,4,8.0,"Weekend dinner,At a party",3  ,ninja turtle ,coke ,Friends,None,Pizza
634566,4,8.0,Weekend dinner,15,The Gentlemen ,Martini Cocktail ,Friends,None,Pizza
625818,1,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay 3.95$ for a slice.,Teenage mutant ninja turtle,Coca-cola,Friends,A little (mild),Pizza
631164,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5-$10,"Rattatouie, even though there isnt pizza.",Water,Strangers,A little (mild),Pizza
603130,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4 ,The Godfather,Pepsi,"Friends,Teachers",None,Pizza
229211,3,3.0,"Week day lunch,Week day dinner,At a party,Late night snack",$5 ,Pulp Fiction,Gingerale (Canada Dry),"Parents,Friends",A little (mild),Pizza
626849,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5.00 ,Teenage Mutant Ninja Turtles,Pop/Soda,"Siblings,Friends",None,Pizza
634650,2,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 for a slice of pizza ,Spiderman,Coke,"Siblings,Friends",A moderate amount (medium),Pizza
632125,3,5.0,"Week day dinner,Weekend dinner,At a party,Late night snack",$3 ,cloudy with a chance of meatballs,Sprite,"Friends,Teachers",None,Pizza
626812,2,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20,no movie,ice tea,Friends,None,Pizza
631109,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$3 or $3.50,I think of the show Gilmore Girls. They're always eating pizza. ,"Soda, personally Sprite. ","Siblings,Friends",None,Pizza
716766,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 for each piece,spiderman,coca-cola,Friends,None,Pizza
494103,3,8.0,"Week day dinner,Weekend dinner,At a party,Late night snack",5 dollars,Ninja turtles,Coca cola,Friends,A moderate amount (medium),Pizza
628102,2,3.0,"Week day dinner,Weekend lunch,At a party",$4 ,Happy Gilmore,Water,"Parents,Siblings,Friends",A little (mild),Pizza
634683,3,5.0,"Week day lunch,At a party,Late night snack",3 dollars,Ratatoullie,Coke,"Siblings,Friends",None,Pizza
517774,2,5.0,"Weekend lunch,At a party",6,Inception,sprite,Friends,A little (mild),Pizza
408898,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2 dollars,Spiderman 2,Water,"Parents,Siblings,Friends",A little (mild),Pizza
603189,3,6.0,"At a party,Late night snack",4,back in action,Diet Coke,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
606857,2,4.0,"Week day lunch,Weekend lunch,At a party",3.50 CAD,Teenage Mutant Ninja Turtles,Coke,Friends,A moderate amount (medium),Pizza
523080,2,4.0,"Weekend lunch,Weekend dinner,At a party",3 dollars,masterchef,soda,Friends,None,Pizza
631014,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,Spiderman 2,Fanta,Parents,None,Pizza
503957,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$11 ,Home alone,Coke,Friends,I will have some of this food item with my hot sauce,Pizza
524890,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5 ,Spider-Man 2,Sprite,"Siblings,Friends",None,Pizza
717411,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$3 ,Italian movie,soft drink,Strangers,A little (mild),Pizza
525311,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Die Hard,Soda,"Parents,Siblings",A little (mild),Pizza
630967,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,The Social Network,Red Wine or Coca Cola,"Friends,Strangers",A little (mild),Pizza
604969,2,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Neverending Story,Soda,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
524480,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8 ,Maze Runner,Mountain Dew,Friends,None,Pizza
630121,3,15.0,"Week day lunch,Weekend dinner,At a party",around $5,Home Alone,soft drinks,"Siblings,Friends,Teachers",A lot (hot),Pizza
629615,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5 dollars,Diary of a Wimpy Kid: Rodrick Rules,Sprite,"Parents,Siblings,Friends",A lot (hot),Pizza
634977,5,4.0,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",20,Spider Man 2,Coca Cola,"Parents,Siblings,Friends",None,Pizza
630823,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8$,Transformer,coke,"Siblings,Friends",None,Pizza
632228,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2 to 3 dollars,Teenage Mutant Ninja Turtles ,Coke,"Siblings,Friends",A lot (hot),Pizza
504548,2,4.0,"Week day lunch,Weekend lunch,At a party,Late night snack",$5 ,Spider-Man 2,Coca-Cola,"Friends,Teachers",None,Pizza
522477,4,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around $5.,"When thinking of pizza, it would reminder me of Italy, and the first movie that came to mind was Malena.",Coke.,"Siblings,Friends,Teachers,Strangers",None,Pizza
523461,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$3 ,Spiderman,Soda,"Parents,Siblings,Friends",None,Pizza
312640,4,3.0,"Week day lunch,Week day dinner,Weekend dinner,At a party",about 2 dollars for a slice but for a full pizza depending on the size between 12-24 dollars,Anchorman,Coke a cola,Friends,None,Pizza
854745,3,4.0,"Week day lunch,Weekend lunch,At a party,Late night snack",$5 ,Friends,Soda,Friends,A moderate amount (medium),Pizza
711854,2,6.0,"Week day lunch,Weekend dinner,At a party,Late night snack","For a whole pizza with 16 inches, $30",Zootopia,Coke,Friends,A moderate amount (medium),Pizza
739254,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4 dollars,Home Alone,Sprite,Friends,None,Pizza
621555,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party"," 5$ for a slice of generic cheaper pizza, 15-20 for a whole pizza chain pizza size medium and 15-30 for a whole smaller more gourmet pizza.",I don't watch movies.,Ice tea???? Or fountain drinks in general. I like Dr. Pepper,Friends,A lot (hot),Pizza
602482,3,4.0,"Weekend lunch,Weekend dinner,At a party",4-6 dollars,"To be honest I can't really think of any movie

But if I have to answer I would say Minions: Rise of Gru",Soda,"Friends,Teachers",None,Pizza
630416,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","$6 + tax for 2 slices, so 6","Ratatouille, because the rat is Italian and Italians like pizza","Water, because water is good for you","Parents,Siblings,Friends,Teachers,Strangers",I will have some of this food item with my hot sauce,Pizza
505458,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15,None,Soft drink,Friends,None,Pizza
296589,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around $2-3 give or take,Terminator,"Pop, soda, alcohol, or water",Friends,A little (mild),Pizza
604826,3,6.0,"Week day lunch,Weekend lunch,At a party,Late night snack","I will expect to pay 6 dollars for one serving of this food item.

 ",I think about about the movie Home Alone.,I will pair this food item with sparkling water.,Friends,None,Pizza
387820,4,5.0,Weekend lunch,None,Men in Black,Diet coke,Teachers,A little (mild),Pizza
603612,4,7.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",15,Teenage Mutant Ninja Turtles,Water,"Parents,Strangers",None,Pizza
712252,4,13.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$4 ,Cloudy with a Chance of Meatballs,Coke,"Siblings,Friends",None,Pizza
742226,4,3.0,"Week day lunch,Weekend lunch,At a party",$5-$10,Teenage Mutant Ninja Turtles,Soda,"Siblings,Friends",None,Pizza
712771,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,Green Book,Orange juice,Parents,None,Pizza
746466,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",24,The DaVinci Code,Ginger Ale,"Siblings,Friends",A little (mild),Pizza
601737,4,5.0,"Weekend lunch,At a party,Late night snack",5 dollars,action movie like mission impossible,coke,Friends,A little (mild),Pizza
631902,2,3.0,"Week day lunch,Week day dinner,Weekend dinner,At a party",$4 ,Spider-man,Soda,"Parents,Friends,Teachers",A little (mild),Pizza
312320,5,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",if one serving means 1 slice = price approx for slice = $4,I think of the Ninja Turtle movies when thinking of pizza,i like Coke Cola the best with this pizza,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
519986,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4,"Crazy, Stupid, Love",Coke,"Friends,Strangers",A little (mild),Pizza
626771,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would expect to pay between $2-5 CAD for one serving of this food item.,I think of the movie Little Italy. The entire plot revolves around two individuals who are competing in a restaurant business where their primary product is this food item.,"I would pair this food item with a soda of choice. For me, that would be Diet Coke. I am also a fan of pairing this food item with apple juice.","Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
407257,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3,Teenage Mutant Ninja Turtles,"Soda

Pop

Coke","Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza
626883,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Around $3-4 per slice. For a full pizza, around $1-2 dollar per inch.",The Hunger Games,Water,Friends,None,Pizza
727339,3,5.0,"Week day lunch,Weekend lunch,Weekend dinner,At a party",15$ for 1 whole pizza (8 slices),Cloudy with a Chance of Meatballs,Sprite,"Friends,Strangers",None,Pizza
631448,4,4.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party","For a whole pizza around 11 dollars, and for one slice I expect around 1.5 dollars",Ratatouille,"Coke/Diet Pepsi, although I would literally have to eat healthy for the next straight 2 weeks.","Parents,Siblings,Friends,Teachers",A lot (hot),Pizza
634885,3,5.0,"Week day lunch,Weekend lunch,At a party",$4 ,Luca,Water,Friends,None,Pizza
619932,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Any movie set in New York,Soda,"Teachers,Strangers",A little (mild),Pizza
601986,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",one slice for 3.45$,Home Alone,Milkshake,Friends,A little (mild),Pizza
631141,4,4.0,"Week day lunch,Weekend dinner,At a party,Late night snack",$4 ,Home Alone,Pepsi,"Friends,Strangers",None,Pizza
631069,4,15.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6 ,Home Alone,Soft drink (coke/pepsi),Friends,A moderate amount (medium),Pizza
634508,4,7.0,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",$3 ,Grown ups,Coke,"Siblings,Friends",A little (mild),Pizza
206744,2,10.0,"Weekend dinner,At a party",$5 ,Spider-Man 2,Coke,"Parents,Siblings,Friends",None,Pizza
